name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,usage_intensity,brand
'Honda Dio',45000,2017,1,0,5650,72752.5,7,807.1428571428571,7
'Yamaha Fazer FI V 2.0 [2016-2018]',65000,2015,1,0,23000,89643.0,9,2555.5555555555557,18
'Yamaha SZ [2013-2014]',20000,2011,1,1,21000,72752.5,13,1615.3846153846155,18
'Honda CB Twister',18000,2010,1,0,60000,53857.0,14,4285.714285714285,7
'Honda CB Hornet 160R',78500,2018,1,0,17000,87719.0,6,2833.3333333333335,7
'Hero Honda CBZ extreme',30000,2010,1,0,32000,72752.5,14,2285.714285714286,6
'Bajaj Discover 125',50000,2016,1,0,42000,60122.0,8,5250.0,3
'Yamaha FZ16',35000,2015,1,0,32000,78712.0,9,3555.5555555555557,18
'Honda Navi',28000,2016,1,1,10000,47255.0,8,1250.0,7
'Bajaj Avenger Street 220',80000,2018,1,0,21178,95955.0,6,3529.6666666666665,3
'Suzuki Access 125 [2007-2016]',25000,2012,1,0,55000,58314.0,12,4583.333333333333,14
'Hero Honda Glamour',25000,2006,1,0,27000,72752.5,18,1500.0,6
'Hero Passion Pro 110',15000,2008,1,0,60000,72752.5,16,3750.0,6
'Honda Navi [2016-2017]',26000,2016,1,0,17450,44389.0,8,2181.25,7
'Honda Activa i',32000,2013,1,1,20696,53900.0,11,1881.4545454545455,7
'Royal Enfield Thunderbird 350',110000,2016,1,0,20000,72752.5,8,2500.0,13
'Honda Dream Yuga',25000,2012,1,0,35000,56147.0,12,2916.6666666666665,7
'TVS Apache RTR 160 4V',80000,2018,1,0,15210,72752.5,6,2535.0,15
'Honda Navi [2016-2017]',42000,2017,1,0,24000,44389.0,7,3428.5714285714284,7
'Yamaha Fazer [2009-2016]',40000,2013,1,2,35000,84751.0,11,3181.818181818182,18
'Hero Honda Splendor NXG',21000,2009,1,0,10000,72752.5,15,666.6666666666666,6
'Hero Glamour 125',55000,2017,1,0,2500,61600.0,7,357.14285714285717,6
'Yamaha FZ S [2012-2016]',38000,2013,1,0,75000,79432.0,11,6818.181818181818,18
'Hero Xtreme Sports',43000,2016,1,1,50000,78350.0,8,6250.0,6
'Honda X-Blade',65000,2018,1,0,27000,72752.5,6,4500.0,7
'Honda CB Shine SP',62000,2019,1,0,10000,71049.0,5,2000.0,7
'Honda Activa 5G',60000,2018,1,0,6502,57557.0,6,1083.6666666666667,7
'Hero Glamour 125',45000,2018,1,0,21000,61600.0,6,3500.0,6
'Hero Honda Passion PRO [2012]',30000,2011,1,0,42000,72752.5,13,3230.769230769231,6
'Royal Enfield Thunderbird 350',90000,2015,1,2,13000,72752.5,9,1444.4444444444443,13
'Bajaj Dominar 400',125000,2017,1,0,12800,72752.5,7,1828.5714285714287,3
'Hero Glamour FI',50000,2018,1,0,20000,71150.0,6,3333.3333333333335,6
'Hero Passion XPro',28000,2012,1,0,81000,56750.0,12,6750.0,6
'Yamaha FZ S V 2.0',85000,2018,1,0,8000,84042.0,6,1333.3333333333333,18
'Hero Achiever 150',29900,2016,1,0,55000,69750.0,8,6875.0,6
'Bajaj Discover 125',25000,2011,1,0,57000,60122.0,13,4384.615384615385,3
'Yamaha FZ16',30000,2009,1,1,26000,78712.0,15,1733.3333333333333,18
'Yamaha Saluto',60000,2018,1,0,13000,59844.0,6,2166.6666666666665,18
'Yamaha FZ16',35000,2012,1,1,29000,78712.0,12,2416.6666666666665,18
'Bajaj Discover 100',25000,2010,1,0,43000,42859.0,14,3071.4285714285716,3
'Honda CB Trigger',30000,2015,1,0,40000,73413.0,9,4444.444444444444,7
'Royal Enfield Electra 5 S',90000,2010,1,1,40000,72752.5,14,2857.1428571428573,13
'Hero Splendor PRO',35000,2015,1,1,24000,49900.0,9,2666.6666666666665,6
'Honda Activa 5G',70000,2019,1,0,3000,59422.0,5,600.0,7
'Hero Honda Passion Plus',25000,2006,1,0,75000,72752.5,18,4166.666666666667,6
'Bajaj Pulsar 150',25000,2010,1,0,42000,72752.5,14,3000.0,3
'Royal Enfield Bullet 350',90000,2014,1,0,13000,72752.5,10,1300.0,13
'Bajaj Discover 125',25000,2013,1,0,55000,57549.0,11,5000.0,3
'Bajaj Pulsar 150 [2001-2011]',42000,2011,1,0,23000,72752.5,13,1769.2307692307693,3
'Hero Splendor PRO',35000,2015,1,1,24000,51994.0,9,2666.6666666666665,6
'Honda Activa 3G',30000,2015,1,0,39000,54605.0,9,4333.333333333333,7
'Yamaha FZ16',48000,2016,1,0,20000,78712.0,8,2500.0,18
'Honda CB Hornet 160R',65000,2016,1,0,30000,88161.0,8,3750.0,7
'Royal Enfield Thunderbird 350',85000,2013,1,0,21000,72752.5,11,1909.090909090909,13
'Hero Hunk',45000,2014,1,0,41000,78513.0,10,4100.0,6
'Suzuki Let\'\'s',34000,2014,1,0,8000,50098.0,10,800.0,14
'Royal Enfield Electra 4 S',90000,2008,1,0,50000,72752.5,16,3125.0,13
'TVS Scooty Pep Plus',35000,2012,1,0,8150,72752.5,12,679.1666666666666,15
'TVS Apache RTR 160',35000,2013,1,0,55750,72752.5,11,5068.181818181818,15
'Bajaj Pulsar AS200',65000,2015,1,0,15856,92074.0,9,1761.7777777777778,3
'Bajaj Pulsar 150',29500,2013,1,0,27000,72752.5,11,2454.5454545454545,3
'Suzuki Intruder 150',95000,2018,1,0,21938,72752.5,6,3656.3333333333335,14
'Hero Honda Karizma ZMR [2010]',50000,2010,1,0,48000,72752.5,14,3428.5714285714284,6
'Honda Dio',7500,2009,1,1,16000,72752.5,15,1066.6666666666667,7
'Bajaj Xcd',25000,2008,1,0,54000,72752.5,16,3375.0,3
'Hero Splendor Plus',35000,2014,1,1,35000,72752.5,10,3500.0,6
'Honda CB Unicorn 150',50000,2014,1,0,32000,74295.0,10,3200.0,7
'Honda Activa 5G',62000,2019,1,0,3500,57557.0,5,700.0,7
'Honda CB Twister',30000,2013,1,0,9000,53857.0,11,818.1818181818181,7
'Hero Splendor PRO',28000,2015,1,0,38000,49642.0,9,4222.222222222223,6
'Hero Honda CD Deluxe',25000,2009,1,0,50000,72752.5,15,3333.3333333333335,6
'Honda Activa i [2016-2017]',30000,2015,1,1,20000,51112.0,9,2222.222222222222,7
'TVS Scooty Zest 110',30000,2017,1,0,9432,53751.0,7,1347.4285714285713,15
'Hero CD Deluxe',25000,2014,1,0,70000,72752.5,10,7000.0,6
'Suzuki Access 125 [2007-2016]',22000,2010,1,1,43000,58314.0,14,3071.4285714285716,14
'Honda Activa 125 [2016-2017]',42000,2016,1,0,30514,61653.0,8,3814.25,7
'Bajaj Pulsar 220S',55000,2015,1,0,45000,72752.5,9,5000.0,3
'Honda Activa 4G',45000,2018,1,0,25000,53079.0,6,4166.666666666667,7
'Bajaj Pulsar 150',42000,2015,1,0,22770,72752.5,9,2530.0,3
'Hero Splendor Plus',30000,2015,1,0,30000,72752.5,9,3333.3333333333335,6
'Bajaj Discover 100',24999,2012,1,1,35000,42859.0,12,2916.6666666666665,3
'Bajaj Pulsar 150',40000,2013,1,0,43400,72752.5,11,3945.4545454545455,3
'Bajaj Pulsar NS160',85000,2018,1,0,7004,72752.5,6,1167.3333333333333,3
'Suzuki Gixxer SF',80000,2018,1,0,12500,72752.5,6,2083.3333333333335,14
'TVS Apache RTR 200 4V',95000,2018,1,0,9600,72752.5,6,1600.0,15
'Bajaj V15',42000,2016,1,0,35000,65626.0,8,4375.0,3
'TVS XL 100 Heavy Duty',40000,2019,1,0,11000,72752.5,5,2200.0,15
'Yamaha FZ S V 2.0',50000,2015,1,0,20000,84042.0,9,2222.222222222222,18
'Hero HF Deluxe',40000,2018,1,0,13000,72752.5,6,2166.6666666666665,6
'Aprilia SR 125',75000,2019,1,0,3500,72752.5,5,700.0,1
'Hero Honda Glamour',30000,2008,1,0,7500,72752.5,16,468.75,6
'Bajaj Discover 125 ST',17500,2013,1,0,38000,58438.0,11,3454.5454545454545,3
'Honda Aviator',57000,2018,1,0,6465,61118.0,6,1077.5,7
'Vespa SXL 149',80000,2018,1,0,18803,72752.5,6,3133.8333333333335,17
'TVS Scooty Pep Plus',18000,2010,1,0,20000,72752.5,14,1428.5714285714287,15
'Hero Xtreme [2013-2014]',25000,2013,1,0,24000,75936.0,11,2181.818181818182,6
'Royal Enfield Thunderbird 350',83900,2014,1,1,22000,72752.5,10,2200.0,13
'Honda CB Hornet 160R',55000,2017,1,0,14000,87543.0,7,2000.0,7
'Honda Shine',50000,2017,1,0,23000,72752.5,7,3285.714285714286,7
'Bajaj Discover 100',20000,2012,1,0,85000,42859.0,12,7083.333333333333,3
'Hero Honda CBZ extreme',25000,2010,1,0,40000,72752.5,14,2857.1428571428573,6
'Royal Enfield Classic 350',125000,2017,1,0,18000,72752.5,7,2571.4285714285716,13
'Honda Activa 5G',55000,2019,1,0,10000,57557.0,5,2000.0,7
'Bajaj Avenger Street 150 [2018]',50000,2016,1,0,40000,80435.0,8,5000.0,3
'Honda Activa 3G',60000,2015,1,0,30000,54605.0,9,3333.3333333333335,7
'Honda Activa 3G',40000,2015,1,0,3000,54605.0,9,333.3333333333333,7
'Bajaj Pulsar 180',15000,2008,1,0,55000,85011.0,16,3437.5,3
'Hero Honda CBZ extreme',20000,2007,1,0,90000,72752.5,17,5294.117647058823,6
'Honda CB Hornet 160R',54786,2016,1,0,25000,88161.0,8,3125.0,7
'KTM 200 Duke',72000,2013,1,0,36500,72752.5,11,3318.181818181818,10
'Hero Karizma 2014',35000,2013,1,0,26000,86744.0,11,2363.6363636363635,6
'Hero Glamour 125',45000,2017,1,0,18000,61600.0,7,2571.4285714285716,6
'Royal Enfield Classic 350',85000,2013,1,0,49000,72752.5,11,4454.545454545455,13
'Royal Enfield Thunderbird 350',100000,2015,1,0,14500,72752.5,9,1611.111111111111,13
'Hero Hunk',20000,2010,1,0,35000,78513.0,14,2500.0,6
'Suzuki Gixxer [2014-2018]',60000,2016,1,0,16000,84246.0,8,2000.0,14
'Royal Enfield Bullet 350',123000,2016,1,0,7000,72752.5,8,875.0,13
'Suzuki Access 125',60000,2017,1,0,4000,72752.5,7,571.4285714285714,14
'TVS Apache RTR 200 4V',100000,2017,1,0,45000,72752.5,7,6428.571428571428,15
'Honda Activa [2000-2015]',30000,2014,1,0,52000,50267.0,10,5200.0,7
'Bajaj Discover 125',28000,2013,1,0,45000,60122.0,11,4090.909090909091,3
'Bajaj Pulsar 150',50000,2007,1,0,52000,72752.5,17,3058.823529411765,3
'Yamaha Saluto RX',40000,2017,1,0,27000,49521.0,7,3857.1428571428573,18
'Suzuki Access 125',40000,2015,1,0,2300,72752.5,9,255.55555555555554,14
'Hero HF Deluxe',30000,2016,1,0,50000,72752.5,8,6250.0,6
'KTM RC 200',130000,2017,1,0,27000,72752.5,7,3857.1428571428573,10
'Honda CB Hornet 160R',48000,2016,1,1,25000,88161.0,8,3125.0,7
'Bajaj CT 100',32000,2017,1,0,40000,72752.5,7,5714.285714285715,3
'Hero Honda Pleasure',23000,2010,1,0,32000,72752.5,14,2285.714285714286,6
'Bajaj Pulsar 135 LS',20000,2010,1,1,50000,64589.0,14,3571.4285714285716,3
'Royal Enfield Classic 350',125000,2017,1,0,36000,72752.5,7,5142.857142857143,13
'Honda Navi [2016-2017]',23000,2016,1,0,17450,44389.0,8,2181.25,7
'Bajaj Discover 125',15000,2011,1,0,32000,57549.0,13,2461.5384615384614,3
'Yamaha SZ RR V 2.0',35000,2015,1,0,38000,69983.0,9,4222.222222222223,18
'Bajaj Discover 150',25000,2014,1,1,71000,54299.0,10,7100.0,3
